Sample	lat	long	replicates	sites	site_altname	controls	Datecode	Date	Year	Month	Day	Bayside	Station	Habitat	DO	Temperature	Salinity	Time	Weather
SC5_S3_L001	40.81168333	-72.59206667	SC5	34	C5	NA	20250911	9/11/25	2025	9	11	WEST	CANAL REEF 5	OYSTER REEF	7.6	20.6	31.1	NA	NA
SPN_S3_L001	40.8406	-72.5667	SPN	47	PN	NA	20250911	9/11/25	2025	9	11	WEST	PINE NECK REEF	OYSTER REEF	8.3	20.9	31.5	NA	NA
SS1_S3_L001	40.82408333	-72.56621667	SS1	25	S1	NA	20250911	9/11/25	2025	9	11	WEST	SEDGE REEF 1	OYSTER REEF	8	20.8	31.6	NA	NA
SS1.1_S3_L001	40.82408333	-72.56621667	SS1	25	S1	NA	20250911	9/11/25	2025	9	11	WEST	SEDGE REEF 1	OYSTER REEF	8	20.8	31.6	NA	NA
SS1.2_S3_L001	40.82408333	-72.56621667	SS1	25	S1	NA	20250911	9/11/25	2025	9	11	WEST	SEDGE REEF 1	OYSTER REEF	8	20.8	31.6	NA	NA
SS3_S3_L001	40.82661667	-72.56753333	SS3	31	S3	NA	20250911	9/11/25	2025	9	11	WEST	SEDGE REEF 3	OYSTER REEF	8	20.5	31.6	NA	NA
SS6_S3_L001	40.82493333	-72.56288333	SS6	32	S6	NA	20250911	9/11/25	2025	9	11	WEST	SEDGE REEF 6	OYSTER REEF	7.7	20.4	31.3	NA	NA
SS9_S3_L001	40.82318333	-72.56958333	SS9	33	S9	NA	20250911	9/11/25	2025	9	11	WEST	SEDGE REEF 9	OYSTER REEF	8.2	20.9	31.5	NA	NA
ST1_S4_L001	40.833381	-72.536572	ST1	27	T1	NA	20250911	9/11/25	2025	9	11	WEST	TIANA BEACH EELGRASS	EELGRASS	7.6	20.8	32.2	NA	NA
ST2_S4_L001	40.84476	-72.50889	ST2	28	T2	NA	20250911	9/11/25	2025	9	11	WEST	PONQUOGUE BRIDGE EELGRASS	EELGRASS	7.5	20.9	32.6	NA	NA
ST3_S4_L001	40.880681	-72.465141	ST3	29	T3	NA	20250911	9/11/25	2025	9	11	EAST	NORTHEASTERN BAY EELGRASS	EELGRASS	9.4	21.5	30.7	NA	NA
ST4_S4_L001	40.85816	-72.49513	ST4	30	T4	NA	20250911	9/11/25	2025	9	11	EAST	SHINNECOCK ROAD EEELGRASS	EELGRASS	8.9	21.4	31.2	NA	NA
ST4.1_S4_L001	40.85816	-72.49513	ST4	30	T4	NA	20250911	9/11/25	2025	9	11	EAST	SHINNECOCK ROAD EEELGRASS	EELGRASS	8.9	21.4	31.2	NA	NA
ST4.2_S4_L001	40.85816	-72.49513	ST4	30	T4	NA	20250911	9/11/25	2025	9	11	EAST	SHINNECOCK ROAD EEELGRASS	EELGRASS	8.9	21.4	31.2	NA	NA
