Sample	lat	long	replicates	sites	site_altname	controls	Datecode	Date	Year	Month	Day	Bayside	Station	Habitat	DO	Temperature	Salinity	Time	Weather
T3S8_S2_L001	40.88104301	-72.48041698	T3S8	1	1	NA	20250805	8/5/25	2025	8	5	EAST	SHINNECOCK HILLS	OPEN WATER	7.44	25.5	40.6	12:55	CLOUDY
T3S9_S2_L001	40.86852003	-72.47460597	T3S9	13	13	NA	20250805	8/5/25	2025	8	5	EAST	EAST MID BAY	OPEN WATER	7.47	21.3	32.7	1:18	CLOUDY
T3S9.1_S2_L001	40.86852003	-72.47460597	T3S9	13	13	NA	20250805	8/5/25	2025	8	5	EAST	EAST MID BAY	OPEN WATER	7.47	21.3	32.7	2:18	CLOUDY
T3S9.2_S2_L001	40.86852003	-72.47460597	T3S9	13	13	NA	20250805	8/5/25	2025	8	5	EAST	EAST MID BAY	OPEN WATER	7.47	21.3	32.7	3:18	CLOUDY
T3STiana_S2_L001	40.86009	-72.537887	T3STiana	24	TC	NA	20250805	8/5/25	2025	8	5	WEST	TIANA CLAM	CLAM SANCTUARY	NA	NA	NA	NA	CLOUDY
T3SWessuck_S2_L001	40.83866	-72.57004	T3SWessuck	23	WC	NA	20250805	8/5/25	2025	8	5	WEST	WESSUCK CLAM	CLAM SANCTUARY	NA	NA	NA	NA	CLOUDY
T4Blank_S2_L001	NA	NA	T4Blank	NA	NA	negative	20250818	8/18/25	2025	8	18	NA	NA	NA	NA	NA	NA	NA	NA
T4S1_S2_L001	40.83347403	-72.55252498	T4S1	12	12	NA	20250818	8/18/25	2025	8	18	WEST	PINE NECK	OPEN WATER	6	25	31.1	9:41	CLOUDY AND WINDY
T4S10_S3_L001	40.85579203	-72.45562004	T4S10	11	11	NA	20250818	8/18/25	2025	8	18	EAST	SOUTH GRASS	OPEN WATER	7.5	24.5	31.4	2:05	CLOUDY AND WINDY
T4S11_S3_L001	40.87629701	-72.45737102	T4S11	7	7	NA	20250818	8/18/25	2025	8	18	EAST	LITTLE POND	OPEN WATER	6.7	25.1	30.7	2:26	CLOUDY AND WINDY
T4S2_S2_L001	40.83791502	-72.53677203	T4S2	10	10	NA	20250818	8/18/25	2025	8	18	WEST	WEST MID BAY	OPEN WATER	6.4	24.6	31.7	10:26	CLOUDY AND WINDY
T4S2.1_S2_L001	40.83791502	-72.53677203	T4S2	10	10	NA	20250818	8/18/25	2025	8	18	WEST	WEST MID BAY	OPEN WATER	6.4	24.6	31.7	11:26	CLOUDY AND WINDY
T4S2.2_S2_L001	40.83791502	-72.53677203	T4S2	10	10	NA	20250818	8/18/25	2025	8	18	WEST	WEST MID BAY	OPEN WATER	6.4	24.6	31.7	12:26	CLOUDY AND WINDY
T4S3_S2_L001	40.82872904	-72.53193802	T4S3	9	9	NA	20250818	8/18/25	2025	8	18	WEST	DUNE ROAD	OPEN WATER	6	23.7	32.1	10:03	CLOUDY AND WINDY
T4S4_S2_L001	40.84862902	-72.54801502	T4S4	8	8	NA	20250818	8/18/25	2025	8	18	WEST	WEST TIANA	OPEN WATER	6.2	24.9	31.7	11:04	CLOUDY AND WINDY
T4S5_S2_L001	40.84659498	-72.50059901	T4S5	4	4	NA	20250818	8/18/25	2025	8	18	EAST	PONQUOGUE BRIDGE	OPEN WATER	7.1	22.7	32.1	11:45	CLOUDY AND WINDY
T4S6_S2_L001	40.850855	-72.488632	T4S6	3	3	NA	20250818	8/18/25	2025	8	18	EAST	INLET	OPEN WATER	7.3	23.9	31.5	12:11	CLOUDY AND WINDY
T4S7_S2_L001	40.86263903	-72.49350901	T4S7	2	2	NA	20250818	8/18/25	2025	8	18	EAST	CORMORANT POINT	OPEN WATER	6.9	24.2	31.3	1:07	CLOUDY AND WINDY
T4S8_S2_L001	40.88104301	-72.48041698	T4S8	1	1	NA	20250818	8/18/25	2025	8	18	EAST	SHINNECOCK HILLS	OPEN WATER	6.6	25.2	30.2	1:26	CLOUDY AND WINDY
T4S9_S2_L001	40.86852003	-72.47460597	T4S9	13	13	NA	20250818	8/18/25	2025	8	18	EAST	EAST MID BAY	OPEN WATER	6.8	23.9	31.5	12:32	CLOUDY AND WINDY
T4S9.1_S2_L001	40.86852003	-72.47460597	T4S9	13	13	NA	20250818	8/18/25	2025	8	18	EAST	EAST MID BAY	OPEN WATER	6.8	23.9	31.5	13:32	CLOUDY AND WINDY
T4S9.2_S2_L001	40.86852003	-72.47460597	T4S9	13	13	NA	20250818	8/18/25	2025	8	18	EAST	EAST MID BAY	OPEN WATER	6.8	23.9	31.5	14:32	CLOUDY AND WINDY
T4STiana_S3_L001	40.86009	-72.537887	T4STiana	24	TC	NA	20250818	8/18/25	2025	8	18	WEST	TIANA CLAM	CLAM SANCTUARY	NA	NA	NA	NA	CLOUDY AND WINDY
T4SWessuck_S3_L001	40.83866	-72.57004	T4SWessuck	23	WC	NA	20250818	8/18/25	2025	8	18	WEST	WESSUCK CLAM	CLAM SANCTUARY	NA	NA	NA	NA	CLOUDY AND WINDY
T5Blank_S3_L001	NA	NA	T5Blank	NA	NA	negative	20250902	9/2/25	2025	9	2	NA	NA	NA	NA	NA	NA	NA	NA
T5S1_S3_L001	40.83347403	-72.55252498	T5S1	12	12	NA	20250902	9/2/25	2025	9	2	WEST	PINE NECK	OPEN WATER	6.2	21.1	31.6	9:49	SUNNY
T5S10_S3_L001	40.85579203	-72.45562004	T5S10	11	11	NA	20250902	9/2/25	2025	9	2	EAST	SOUTH GRASS	OPEN WATER	7.1	21.4	32.4	1:18	SUNNY
T5S11_S3_L001	40.87629701	-72.45737102	T5S11	7	7	NA	20250902	9/2/25	2025	9	2	EAST	LITTLE POND	OPEN WATER	6.9	22.2	32.2	1:40	SUNNY
T5S2_S3_L001	40.83791502	-72.53677203	T5S2	10	10	NA	20250902	9/2/25	2025	9	2	WEST	WEST MID BAY	OPEN WATER	6.4	21.2	32.2	10:13	SUNNY
T5S2.1_S3_L001	40.83791502	-72.53677203	T5S2	10	10	NA	20250902	9/2/25	2025	9	2	WEST	WEST MID BAY	OPEN WATER	6.4	21.2	32.2	11:13	SUNNY
T5S2.2_S3_L001	40.83791502	-72.53677203	T5S2	10	10	NA	20250902	9/2/25	2025	9	2	WEST	WEST MID BAY	OPEN WATER	6.4	21.2	32.2	12:13	SUNNY
T5S3_S3_L001	40.82872904	-72.53193802	T5S3	9	9	NA	20250902	9/2/25	2025	9	2	WEST	DUNE ROAD	OPEN WATER	6.1	20.3	32	10:33	SUNNY
T5S4_S3_L001	40.84862902	-72.54801502	T5S4	8	8	NA	20250902	9/2/25	2025	9	2	WEST	WEST TIANA	OPEN WATER	7.2	21.2	32.1	11:01	SUNNY
T5S5_S3_L001	40.84659498	-72.50059901	T5S5	4	4	NA	20250902	9/2/25	2025	9	2	EAST	PONQUOGUE BRIDGE	OPEN WATER	7	20.7	32.4	11:40	SUNNY
T5S6_S3_L001	40.850855	-72.488632	T5S6	3	3	NA	20250902	9/2/25	2025	9	2	EAST	INLET	OPEN WATER	7.9	22.3	32.2	12:02	SUNNY
T5S7_S3_L001	40.86263903	-72.49350901	T5S7	2	2	NA	20250902	9/2/25	2025	9	2	EAST	CORMORANT POINT	OPEN WATER	7.3	21.6	31.1	12:59	SUNNY
T5S8_S3_L001	40.88104301	-72.48041698	T5S8	1	1	NA	20250902	9/2/25	2025	9	2	EAST	SHINNECOCK HILLS	OPEN WATER	6.8	22.2	30.5	12:42	SUNNY
T5S9_S3_L001	40.86852003	-72.47460597	T5S9	13	13	NA	20250902	9/2/25	2025	9	2	EAST	EAST MID BAY	OPEN WATER	6.7	21.4	32	12:24	SUNNY
T5S9.1_S3_L001	40.86852003	-72.47460597	T5S9	13	13	NA	20250902	9/2/25	2025	9	2	EAST	EAST MID BAY	OPEN WATER	6.7	21.4	32	13:24	SUNNY
T5S9.2_S3_L001	40.86852003	-72.47460597	T5S9	13	13	NA	20250902	9/2/25	2025	9	2	EAST	EAST MID BAY	OPEN WATER	6.7	21.4	32	14:24	SUNNY
T5STiana_S3_L001	40.86009	-72.537887	T5STiana	24	TC	NA	20250902	9/2/25	2025	9	2	WEST	TIANA CLAM	CLAM SANCTUARY	NA	NA	NA	NA	SUNNY
T5SWessuck_S3_L001	40.83866	-72.57004	T5SWessuck	23	WC	NA	20250902	9/2/25	2025	9	2	WEST	WESSUCK CLAM	CLAM SANCTUARY	NA	NA	NA	NA	SUNNY
T6Blank_S3_L001	NA	NA	T6Blank	NA	NA	negative	20250916	9/16/25	2025	9	16	NA	NA	NA	NA	NA	NA	NA	NA
T6S1_S3_L001	40.83347403	-72.55252498	T6S1	12	12	NA	20250916	9/16/25	2025	9	16	WEST	PINE NECK	OPEN WATER	6.5	21.6	30.6	9:39	CLOUDY AND WINDY
T6S10_S4_L001	40.85579203	-72.45562004	T6S10	11	11	NA	20250916	9/16/25	2025	9	16	EAST	SOUTH GRASS	OPEN WATER	7.9	21.1	30.7	12:53	CLOUDY AND WINDY
T6S11_S4_L001	40.87629701	-72.45737102	T6S11	7	7	NA	20250916	9/16/25	2025	9	16	EAST	LITTLE POND	OPEN WATER	6.5	21.7	30.9	1:13	CLOUDY AND WINDY
T6S2_S3_L001	40.83791502	-72.53677203	T6S2	10	10	NA	20250916	9/16/25	2025	9	16	WEST	WEST MID BAY	OPEN WATER	6.5	21.6	30.8	10:13	CLOUDY AND WINDY
T6S2.1_S3_L001	40.83791502	-72.53677203	T6S2	10	10	NA	20250916	9/16/25	2025	9	16	WEST	WEST MID BAY	OPEN WATER	6.5	21.6	30.8	11:13	CLOUDY AND WINDY
T6S2.2_S3_L001	40.83791502	-72.53677203	T6S2	10	10	NA	20250916	9/16/25	2025	9	16	WEST	WEST MID BAY	OPEN WATER	6.5	21.6	30.8	12:13	CLOUDY AND WINDY
T6S3_S3_L001	40.82872904	-72.53193802	T6S3	9	9	NA	20250916	9/16/25	2025	9	16	WEST	DUNE ROAD	OPEN WATER	6.1	20.8	31.3	9:51	CLOUDY AND WINDY
T6S4_S3_L001	40.84862902	-72.54801502	T6S4	8	8	NA	20250916	9/16/25	2025	9	16	WEST	WEST TIANA	OPEN WATER	6.85	21.5	30.9	10:38	CLOUDY AND WINDY
T6S5_S3_L001	40.84659498	-72.50059901	T6S5	4	4	NA	20250916	9/16/25	2025	9	16	EAST	PONQUOGUE BRIDGE	OPEN WATER	7.14	21	31	11:03	CLOUDY AND WINDY
T6S6_S3_L001	40.850855	-72.488632	T6S6	3	3	NA	20250916	9/16/25	2025	9	16	EAST	INLET	OPEN WATER	8.24	21.3	30.7	11:21	CLOUDY AND WINDY
T6S7_S3_L001	40.86263903	-72.49350901	T6S7	2	2	NA	20250916	9/16/25	2025	9	16	EAST	CORMORANT POINT	OPEN WATER	7	21.3	30.3	11:52	CLOUDY AND WINDY
T6S8_S4_L001	40.88104301	-72.48041698	T6S8	1	1	NA	20250916	9/16/25	2025	9	16	EAST	SHINNECOCK HILLS	OPEN WATER	7.1	21.8	30.4	12:19	CLOUDY AND WINDY
T6S9_S4_L001	40.86852003	-72.47460597	T6S9	13	13	NA	20250916	9/16/25	2025	9	16	EAST	EAST MID BAY	OPEN WATER	7.34	21.4	30.4	12:35	CLOUDY AND WINDY
T6S9.1_S4_L001	40.86852003	-72.47460597	T6S9	13	13	NA	20250916	9/16/25	2025	9	16	EAST	EAST MID BAY	OPEN WATER	7.34	21.4	30.4	13:35	CLOUDY AND WINDY
T6S9.2_S4_L001	40.86852003	-72.47460597	T6S9	13	13	NA	20250916	9/16/25	2025	9	16	EAST	EAST MID BAY	OPEN WATER	7.34	21.4	30.4	14:35	CLOUDY AND WINDY
T6STiana_S4_L001	40.86009	-72.537887	T6STiana	24	TC	NA	20250916	9/16/25	2025	9	16	WEST	TIANA CLAM	CLAM SANCTUARY	NA	NA	NA	NA	CLOUDY AND WINDY
T6SWessuck_S4_L001	40.83866	-72.57004	T6SWessuck	23	WC	NA	20250916	9/16/25	2025	9	16	WEST	WESSUCK CLAM	CLAM SANCTUARY	NA	NA	NA	NA	CLOUDY AND WINDY
